时间,attention,瞬时总分数,瞬时得分比,瞬时TScore状态,瞬时生成总方块数,瞬时生成得分方块数,瞬时生成惩罚方块数,瞬时命中得分方块数,瞬时命中惩罚方块数,每个lastGradScore记录,每个intev间隔内，生成的总方块数,每个intev间隔内，生成的得分块数,每个intev间隔内，生成的惩罚方块数
2022/11/23 0:56:12,0,0,0,False,0,0,0,0,0,0,0,0,0
2022/11/23 0:56:14,0,0,0,False,0,0,0,0,0,0,0,0,0
2022/11/23 0:56:17,0,0,0,False,0,0,0,0,0,0,0,0,0
2022/11/23 0:56:19,0,0,0,False,1,1,0,0,0,0,0,0,0
2022/11/23 0:56:22,0,0,0,False,3,3,0,0,0,0,2,2,0
2022/11/23 0:56:24,0,0,0,False,5,5,0,0,0,0,2,2,0
2022/11/23 0:56:27,0,0,0,False,7,7,0,0,0,0,1,1,0
2022/11/23 0:56:29,0,0,0,False,9,9,0,0,0,0,3,3,0
2022/11/23 0:56:32,0,0,0,False,12,11,1,0,0,0,2,2,0
2022/11/23 0:56:34,0,467,133.4248,True,14,11,3,0,0,211,3,2,1
2022/11/23 0:56:37,0,422,93.77569,True,18,15,3,0,0,452,2,0,2
2022/11/23 0:56:39,0,377,71.80815,False,21,18,3,0,0,422,4,4,0
2022/11/23 0:56:42,0,570,99.12871,False,23,19,4,0,0,151,2,1,1
2022/11/23 0:56:44,0,525,80.76799,False,26,22,4,0,0,103,4,4,0
